name,category,rating_value,rating_count,StoryLine,keywords,Genres
竊盜警長 ,Action,8.4,84163.0,"Lucas Hood, an ex-con and master thief, assumes the identity of a murdered sheriff where he continues his criminal activities. His past seems to haunt him by those he betrayed years earlier. This ex-con imposes his own brand of justice where violence erupts at every turn in the not so quiet Amish town of Banshee, Pennsylvania.","['man with no name', 'pennsylvania', 'thief', 'tough girl', 'double life']","['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
芝加哥烈焰 ,Action,7.9,35527.0,"The story of firefighters in Chicago, both on a personal and professional level","['fire department', 'firefighter', 'rescue', 'rescue team', 'coworker relationship']","['Action', 'Drama']"
芝加哥警署 ,Action,8.1,26903.0,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head-to-head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.","['police', 'chicago illinois', 'copaganda', 'shared universe', '2010s']","['Action', 'Crime', 'Drama', 'Thriller']"
La Révolution ,Adventure,6.6,1911.0,"In a reimagined history of the French Revolution, the guillotine's future inventor uncovers a disease that drives the aristocracy to murder commoners.","['france', 'netflix original series', '1780s', '18th century']","['Action', 'Adventure', 'Drama', 'Thriller']"
007：生死交戰 (2021),Adventure,,,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","['jamaica', 'miss moneypenny character', 'q character', 'james bond character', '007']","['Action', 'Adventure', 'Thriller']"
紳士密令 (2015),Adventure,7.3,267646.0,"In the 1960s with the Cold War in play, CIA agent Napoleon Solo successfully helps Gaby Teller defect to West Germany despite the intimidating opposition of KGB agent Illya Kuryakin. Later, all three unexpectedly find themselves working together in a joint mission to stop a private criminal organization from using Gaby's father's scientific expertise to construct their own nuclear bomb. Through clenched teeth and stylish poise, all three must find a way to cooperate for the sake of world peace, even as they each pursue their own agendas.","['cia agent', 'spy', 'kgb agent', 'cold war', 'cia']","['Action', 'Adventure', 'Comedy']"
黑豹 (2018),Adventure,7.3,611781.0,"After the events of Captain America: Civil War, Prince T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new king. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakandan special forces, to prevent Wakanda from being dragged into a world war.","['marvel cinematic universe', 'marvel comics', 'based on comic book', 'king', 'african king']","['Action', 'Adventure', 'Sci-Fi']"
超少女 ,Adventure,6.3,109011.0,"Years ago, Krypton was about to explode and Kal-El was sent to Earth to escape that fate. However, his older cousin, Kara, was also intended to accompany the infant as his protector. Unfortunately, Kara was accidentally diverted into the timeless Phantom Zone for years before finally arriving on Earth decades later and found by her cousin who had grown into Superman. Years later, Kara Danvers is a young professional adrift in a thankless job until a fateful crisis ignites a sense of purpose using Kryptonian powers she had long hidden. Inspired, Kara decides to emulate her cousin's superheroic ways, only to find her foster sister introducing her to the secret Department of Extra-Normal Operations, dedicated to fighting alien menaces including those Kara inadvertently led to Earth. Now with such help, the Maid of Might takes her place as Earth's newest champion with new friends and enemies challenging her world.","['superhero', 'female hero', 'based on comic book', 'dc comics', 'female superhero']","['Action', 'Adventure', 'Drama', 'Sci-Fi']"
瘋狂麥斯：憤怒道 (2015),Adventure,8.1,864089.0,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and almost everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","['post apocalypse', 'desert', 'car chase', 'chase', 'escape']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Untitled Spider-Man Sequel (2021),Adventure,,,A continuation of Spider-Man Far From Home,"['superhero', 'based on comic', 'marvel comics']","['Action', 'Adventure', 'Sci-Fi']"
